field,classification,recommendation,sample_nonnull_pct,sample_unique_values,sample_bytes_100_trades,prod_read_count,prod_write_count,read_files,write_files,string_ref_files
immediateGreenImpulse,RETAIN,,100.0,2,3094,109,15,src/aesDiscovery/aesDiscoveryAnalytics.js | src/aesDiscovery/aesDiscoveryLabels.js | src/aesDiscovery/aesDiscoveryScore.js | src/aesDiscovery/aesDiscoveryShadowEngine.js | src/app/LongLabApp.jsx | src/audits/bestDnaAudit.js | src/audits/bestDnaLongAudit.js | src/audits/bestDnaLongAuditV2.js | src/audits/longRunnerCaptureAudit.js | src/audits/topGainerExhaustionAudit.js | src/combos/longComboRegistry.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js | src/entryPolicy/gainerDiagnosticGate.js | src/entryPolicy/loserDiagnosticGate.js | src/entryPolicy/sniperShortGateLogOnly.js | src/exitProfiles/dynamicExitProfiles.js | src/filters/FiltersTab.jsx | src/filters/filterAnalytics.js | src/funding/fundingLabels.js | src/longAudits/longEntryDangerAuditLogOnly.js | src/longAudits/shortPressureDangerLogOnly.js | src/longAudits/topGainerContinuationAudit.js | src/longAudits/topLoserReversalAudit.js | src/longBuckets/topGainerLongClassifier.js | src/longBuckets/topLoserLongClassifier.js | src/longGate/longGateAudit.js | src/longGate/sniperLongGateLogOnly.js | src/outcomes/longPostFee10Support.js | src/research/longEvidenceSemantics.js | src/research/longPreviewScorers.js | src/research/longWinningSignals.js | src/research/normalizeLongEntryFacts.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/absoluteEntryScore/absoluteEntryScore.legacy-v2.js | src/scoring/absoluteEntryScore/absoluteEntryScore.scorer.js | src/scoring/candidateRunner/candidateRunner.scorer.js | src/scoring/executionRankScoreLogOnly.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js | src/scoring/longCandidateRunner/longCandidateRunner.features.js | src/scoring/longPostFee10/longPostFee10.features.js | src/scoring/postFee10/postFee10.live-monitor.js | src/scoring/postFee10/postFee10.scorer.js | src/shadowLong/shadowLongAudit.js,src/aesDiscovery/aesDiscoveryShadowEngine.js | src/app/LongLabApp.jsx | src/research/longPreviewScorers.js | src/research/normalizeLongEntryFacts.js | src/scoring/absoluteEntryScore/absoluteEntryScore.config.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js | src/scoring/postFee10/postFee10.scorer.js | src/shadowLong/shadowLongAudit.js,src/aesDiscovery/aesDiscoveryAnalytics.js | src/aesDiscovery/aesDiscoveryTelemetry.js | src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.labels.js | src/scoring/postFee10/postFee10.scorer.js
last5TicksDirection,RETAIN,,100.0,3,3090,8,7,src/aesDiscovery/aesDiscoveryShadowEngine.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/absoluteEntryScore/absoluteEntryScore.legacy-v2.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js,src/aesDiscovery/aesDiscoveryShadowEngine.js | src/app/LongLabApp.jsx | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js,src/export/longTradeExportSchema.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js
bestDnaLongScoreV2Shadow,RETAIN,,100.0,32,3068,2,1,src/research/buildLongEntryResearchSnapshot.js,src/audits/bestDnaLongAuditV2.js,src/export/longTradeExportSchema.js | src/filters/longFilterAnalytics.js | src/migrations/migrateLongTradeRecord.js
last3TicksDirection,RETAIN,,100.0,3,3061,71,14,src/aesDiscovery/aesDiscoveryAnalytics.js | src/aesDiscovery/aesDiscoveryLabels.js | src/aesDiscovery/aesDiscoveryShadowEngine.js | src/app/LongLabApp.jsx | src/audits/bestDnaAudit.js | src/audits/bestDnaLongAudit.js | src/audits/bestDnaLongAuditV2.js | src/audits/longRunnerCaptureAudit.js | src/audits/topGainerExhaustionAudit.js | src/combos/longComboRegistry.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js | src/entryPolicy/gainerDiagnosticGate.js | src/entryPolicy/loserDiagnosticGate.js | src/fees/profitLockTelemetry.js | src/longAudits/longEntryDangerAuditLogOnly.js | src/longAudits/topLoserReversalAudit.js | src/longBuckets/topLoserLongClassifier.js | src/longGate/longGateAudit.js | src/research/longEvidenceSemantics.js | src/research/longPreviewScorers.js | src/research/longWinningSignals.js | src/research/normalizeLongEntryFacts.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/absoluteEntryScore/absoluteEntryScore.legacy-v2.js | src/scoring/absoluteEntryScore/absoluteEntryScore.scorer.js | src/scoring/candidateRunner/candidateRunner.scorer.js | src/scoring/executionRankScoreLogOnly.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js | src/scoring/longCandidateRunner/longCandidateRunner.features.js | src/scoring/longPostFee10/longPostFee10.features.js | src/scoring/postFee10/postFee10.scorer.js | src/shadowLong/ShadowLongInspectionDrawer.jsx | src/shadowLong/shadowLongAnalytics.js | src/shadowLong/shadowLongAudit.js | src/shadowLong/shadowLongFilters.js,src/aesDiscovery/aesDiscoveryShadowEngine.js | src/app/LongLabApp.jsx | src/research/longPreviewScorers.js | src/research/normalizeLongEntryFacts.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js | src/scoring/postFee10/postFee10.scorer.js | src/shadowLong/shadowLongAudit.js,src/aesDiscovery/aesDiscoveryAnalytics.js | src/aesDiscovery/aesDiscoveryTelemetry.js | src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js
bucketAuditWouldPass,RETAIN,,100.0,1,3000,4,3,src/filters/components/ExplainMatchDrawer.jsx | src/research/buildLongEntryResearchSnapshot.js | src/research/buildLongShadowDecision.js,src/longAudits/topGainerContinuationAudit.js | src/longAudits/topLoserReversalAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
profitLockFloorMissed,RETAIN,,32.0,2,3000,4,3,src/app/LongLabApp.jsx | src/filters/FiltersTab.jsx,src/app/LongLabApp.jsx | src/fees/profitLockTelemetry.js | src/lifecycle/profitLockProtection.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
longPostFee10EntryScore,RETAIN,,100.0,21,2997,14,3,src/app/LongLabApp.jsx | src/filters/FiltersTab.jsx | src/filters/components/ExplainMatchDrawer.jsx | src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js | src/research/longEvidenceSemantics.js,src/migrations/migrateLongTradeRecord.js | src/scoring/longPostFee10/longPostFee10.scorer.js,src/export/longTradeExport.js | src/export/longTradeExportSchema.js | src/filters/FiltersTab.jsx | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js | src/research/entrySnapshotProvenance.js | src/safety/assertEntrySnapshotConsistency.js
hardAntiComboPresent,RETAIN,,100.0,2,2993,1,1,src/research/longEvidenceSemantics.js,src/research/longEvidenceSemantics.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
hasLongMicroMomentum,RETAIN,,100.0,2,2944,8,5,src/filters/filterAnalytics.js | src/longAudits/longEntryDangerAuditLogOnly.js | src/longGate/longGateAudit.js | src/longGate/sniperLongGateLogOnly.js | src/research/buildLongEntryResearchSnapshot.js | src/research/normalizeLongEntryFacts.js,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/research/normalizeLongEntryFacts.js,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js
entryPolicyRequiredAes,RETAIN,,100.0,2,2900,5,6,src/components/MarketRegimeDetails.jsx | src/components/MarketRegimeHeader.jsx | src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicyLogOnly.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicy.js | src/entryPolicy/entryPolicyLogOnly.flatten.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicyLogOnly.flatten.js | src/export/longTradeExportSchema.js
longCombosPositiveCount,RETAIN,,100.0,6,2900,1,2,src/filters/filterAnalytics.js,src/combos/longComboRegistry.js | src/migrations/migrateLongTradeRecord.js,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js
macdBullishExpansion,RETAIN,,34.0,2,2900,6,4,src/research/buildLongEntryResearchSnapshot.js | src/research/longWinningSignals.js | src/scoring/absoluteEntryScore/absoluteEntryScore.scorer.js,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/research/normalizeLongEntryFacts.js | src/scoring/absoluteEntryScore/absoluteEntryScore.config.js,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js
immediateRedImpulse,RETAIN,,100.0,2,2890,97,15,src/aesDiscovery/aesDiscoveryAnalytics.js | src/aesDiscovery/aesDiscoveryLabels.js | src/aesDiscovery/aesDiscoveryScore.js | src/aesDiscovery/aesDiscoveryShadowEngine.js | src/app/LongLabApp.jsx | src/audits/bestDnaAudit.js | src/audits/bestDnaLongAudit.js | src/audits/bestDnaLongAuditV2.js | src/audits/longRunnerCaptureAudit.js | src/audits/topGainerExhaustionAudit.js | src/combos/longComboRegistry.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js | src/entryPolicy/gainerDiagnosticGate.js | src/entryPolicy/loserDiagnosticGate.js | src/entryPolicy/sniperShortGateLogOnly.js | src/exitProfiles/dynamicExitProfiles.js | src/fees/profitLockTelemetry.js | src/liveExitAudit/liveExitAudit.signals.js | src/longAudits/longEntryDangerAuditLogOnly.js | src/longAudits/shortPressureDangerLogOnly.js | src/longAudits/topGainerContinuationAudit.js | src/longAudits/topLoserReversalAudit.js | src/longBuckets/topGainerLongClassifier.js | src/longBuckets/topLoserLongClassifier.js | src/longGate/longGateAudit.js | src/longGate/sniperLongGateLogOnly.js | src/outcomes/longPostFee10Support.js | src/research/longPreviewScorers.js | src/research/longWinningSignals.js | src/research/normalizeLongEntryFacts.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/absoluteEntryScore/absoluteEntryScore.legacy-v2.js | src/scoring/absoluteEntryScore/absoluteEntryScore.scorer.js | src/scoring/candidateRunner/candidateRunner.scorer.js | src/scoring/executionRankScoreLogOnly.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js | src/scoring/longCandidateRunner/longCandidateRunner.features.js | src/scoring/longPostFee10/longPostFee10.features.js | src/scoring/postFee10/postFee10.scorer.js | src/shadowLong/shadowLongAudit.js,src/aesDiscovery/aesDiscoveryShadowEngine.js | src/app/LongLabApp.jsx | src/research/longPreviewScorers.js | src/research/normalizeLongEntryFacts.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.config.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js | src/scoring/postFee10/postFee10.scorer.js | src/shadowLong/shadowLongAudit.js,src/aesDiscovery/aesDiscoveryAnalytics.js | src/aesDiscovery/aesDiscoveryTelemetry.js | src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/longGate/longGateAudit.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/absoluteEntryScore/absoluteEntryScore.labels.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js | src/scoring/postFee10/postFee10.scorer.js
isBestDnaLongSniper,RETAIN,,100.0,2,2889,1,2,src/export/longBestDnaExport.js,src/audits/bestDnaLongAudit.js | src/export/longBestDnaExport.js,src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js
absoluteEntryBaseScore,RETAIN,,100.0,52,2877,3,4,src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/adaptiveAes.js | src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
bucketAuditTier,RETAIN,,100.0,2,2876,3,4,src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js,src/longAudits/topGainerContinuationAudit.js | src/longAudits/topLoserReversalAudit.js | src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExport.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
leaderboardSide,RETAIN,,100.0,2,2850,33,16,src/aesDiscovery/AesDiscoveryTab.jsx | src/aesDiscovery/aesDiscoveryAnalytics.js | src/aesDiscovery/aesDiscoveryLabels.js | src/aesDiscovery/aesDiscoveryPrefilter.js | src/aesDiscovery/aesDiscoveryShadowEngine.js | src/aesDiscovery/aesDiscoveryTelemetry.js | src/aesDiscovery/aesDiscoveryUniverse.js | src/app/LongLabApp.jsx | src/entryPolicy/gainerDiagnosticGate.js | src/entryPolicy/loserDiagnosticGate.js | src/export/longBatchExport.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/absoluteEntryScore/absoluteEntryScore.legacy-v2.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js | src/scoring/postFee10/postFee10.analytics.js | src/scoring/postFee10/postFee10.scorer.js,src/aesDiscovery/aesDiscoveryShadowEngine.js | src/aesDiscovery/aesDiscoveryTelemetry.js | src/aesDiscovery/aesDiscoveryUniverse.js | src/app/LongLabApp.jsx | src/research/longPreviewScorers.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js,src/aesDiscovery/aesDiscoveryAnalytics.js | src/export/longTradeExportSchema.js
longFilterCoveragePct,RETAIN,,100.0,2,2800,1,2,src/research/buildLongEntryResearchSnapshot.js,src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
longFilterStaleFields,RETAIN,,100.0,1,2800,2,3,src/research/buildLongEntryResearchSnapshot.js,src/research/buildLongEntryResearchSnapshot.js | src/research/normalizeLongEntryFacts.js,src/export/longTradeExportSchema.js
longGateMissingInputs,RETAIN,,100.0,1,2800,1,2,src/research/buildLongEntryResearchSnapshot.js,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExportSchema.js
isBestDnaLongElite,RETAIN,,100.0,2,2791,2,2,src/export/longBestDnaExport.js | src/longGate/sniperLongGateLogOnly.js,src/audits/bestDnaLongAudit.js | src/export/longBestDnaExport.js,src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js
isNorm3PlusWinner,RETAIN,,100.0,2,2699,2,4,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js
isNorm2PlusWinner,RETAIN,,100.0,2,2698,2,4,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js
absoluteEntryAesGap,RETAIN,,100.0,50,2688,4,4,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicy.js,src/entryPolicy/adaptiveAes.js | src/entryPolicy/entryPolicy.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
isBestDnaLongHigh,RETAIN,,100.0,2,2680,1,2,src/export/longBestDnaExport.js,src/audits/bestDnaLongAudit.js | src/export/longBestDnaExport.js,src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js
longAesScoreV2Shadow,RETAIN,,100.0,58,2673,2,1,src/research/buildLongEntryResearchSnapshot.js,src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.v2Shadow.js,src/export/longTradeExportSchema.js | src/filters/longFilterAnalytics.js | src/migrations/migrateLongTradeRecord.js
closeReason,RETAIN,,100.0,4,2670,79,20,src/aesDiscovery/AesDiscoveryTab.jsx | src/aesDiscovery/aesDiscoveryAnalytics.js | src/aesDiscovery/aesDiscoveryLabels.js | src/app/LongLabApp.jsx | src/export/longBatchExport.js | src/export/longTradeExportSchema.js | src/filters/FiltersTab.jsx | src/filters/components/ExplainMatchDrawer.jsx | src/filters/filterAnalytics.js | src/filters/longCompareMode.js | src/filters/longFilterAnalytics.js | src/lifecycle/longTradeLifecycle.js | src/migrations/migrateLongTradeRecord.js | src/scoring/postFee10/postFee10.analytics.js | src/sessionHealth/sessionHealth.metrics.js | src/shadowLong/shadowLongAudit.js,src/aesDiscovery/aesDiscoveryShadowEngine.js | src/app/LongLabApp.jsx | src/export/longBatchExport.js | src/filters/FiltersTab.jsx | src/lifecycle/closeReasons.js | src/lifecycle/longTradeLifecycle.js | src/migrations/migrateLongTradeRecord.js | src/shadowLong/shadowLongAudit.js,src/aesDiscovery/aesDiscoveryAnalytics.js | src/export/longTradeExportSchema.js | src/fees/feeExport.js | src/filters/FiltersTab.jsx | src/filters/longCompareMode.js | src/filters/longFilterRegistry.js
longGateWouldPass,RETAIN,,100.0,2,2652,22,5,src/audits/bestDnaLongAudit.js | src/exitProfiles/dynamicExitProfiles.js | src/filters/FiltersTab.jsx | src/filters/components/ExplainMatchDrawer.jsx | src/filters/filterAnalytics.js | src/research/buildLongEntryResearchSnapshot.js | src/research/buildLongShadowDecision.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js,src/longGate/longGateAudit.js | src/research/buildLongEntryResearchSnapshot.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.config.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js,src/export/longTradeExportSchema.js | src/filters/FiltersTab.jsx | src/filters/longFilterRegistry.js | src/safety/assertEntrySnapshotConsistency.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js
bestDnaLongScoreRaw,RETAIN,,100.0,76,2637,1,2,src/export/longBestDnaExport.js,src/audits/bestDnaLongAudit.js | src/export/longBestDnaExport.js,src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js
grossNormPnlPct,RETAIN,,100.0,100,2622,8,12,src/app/LongLabApp.jsx | src/fees/feeExport.js | src/fees/feeSelectors.js | src/migrations/migrateLongTradeRecord.js | src/shadowLong/shadowLongAudit.js,src/app/LongLabApp.jsx | src/domain/longTradeMath.js | src/fees/feeAccounting.js | src/fees/feeExport.js | src/fees/feeMigration.js | src/shadowLong/shadowLongAudit.js,src/export/longTradeExportSchema.js
cvdStateAtEntry,RETAIN,,100.0,3,2600,4,1,src/app/LongLabApp.jsx | src/research/longEvidenceSemantics.js,src/research/longEvidenceSemantics.js,src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
runClosedTradeCount,RETAIN,,100.0,1,2600,2,6,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js | src/export/runOutcomeRanking.js,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js
longCombosAntiCount,RETAIN,,100.0,3,2500,2,2,src/filters/filterAnalytics.js | src/research/longEvidenceSemantics.js,src/combos/longComboRegistry.js | src/migrations/migrateLongTradeRecord.js,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js | src/migrations/migrateLongTradeRecord.js
entryPolicyAesGap,RETAIN,,100.0,50,2488,5,6,src/components/MarketRegimeDetails.jsx | src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicyLogOnly.flatten.js,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicy.js | src/entryPolicy/entryPolicyLogOnly.flatten.js | src/entryPolicy/evaluateEntryPolicyLogOnly.js,src/entryPolicy/entryPolicy.flatten.js | src/entryPolicy/entryPolicyLogOnly.flatten.js | src/export/longTradeExportSchema.js
isRunBest1Norm,RETAIN,,100.0,2,2398,2,6,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js | src/export/runOutcomeRanking.js,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js
isRunBest3Norm,RETAIN,,100.0,2,2394,2,6,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js | src/export/runOutcomeRanking.js,src/audits/bestDnaAudit.js | src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js
entryRankInBucket,RETAIN,,100.0,25,2364,18,11,src/audits/bestDnaAudit.js | src/audits/bestDnaLongAudit.js | src/audits/topGainerExhaustionAudit.js | src/longBuckets/topLoserLongClassifier.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/absoluteEntryScore/absoluteEntryScore.legacy-v2.js | src/scoring/absoluteEntryScore/absoluteEntryScore.scorer.js | src/scoring/candidateRunner/candidateRunner.scorer.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js | src/scoring/postFee10/postFee10.scorer.js,src/aesDiscovery/aesDiscoveryTelemetry.js | src/app/LongLabApp.jsx | src/research/longPreviewScorers.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/absoluteEntryScore/absoluteEntryScore.scorer.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.scorer.js,src/export/longTradeExportSchema.js | src/scoring/absoluteEntryScore/absoluteEntryScore.features.js | src/scoring/longAbsoluteEntryScore/longAbsoluteEntryScore.features.js
mfe,RETAIN,,100.0,85,2349,38,9,src/aesDiscovery/AesDiscoveryTab.jsx | src/aesDiscovery/aesDiscoveryAnalytics.js | src/aesDiscovery/aesDiscoveryShadowEngine.js | src/app/LongLabApp.jsx | src/audits/bestDnaAudit.js | src/audits/longRunnerCaptureAudit.js | src/fees/profitLockTelemetry.js | src/filters/filterAnalytics.js | src/filters/longFilterAnalytics.js | src/lifecycle/longTradeLifecycle.js | src/liveExitAudit/liveExitAudit.signals.js | src/outcomes/longPostFee10Support.js | src/scoring/postFee10/postFee10.analytics.js | src/scoring/postFee10/postFee10.outcomes.js | src/sessionHealth/sessionHealth.metrics.js,src/aesDiscovery/aesDiscoveryShadowEngine.js | src/app/LongLabApp.jsx | src/lifecycle/longTradeLifecycle.js,src/aesDiscovery/AesDiscoveryTab.jsx | src/aesDiscovery/aesDiscoveryAnalytics.js | src/app/LongLabApp.jsx | src/export/longTradeExportSchema.js
exitPrice,RETAIN,,100.0,100,2344,5,8,src/app/LongLabApp.jsx | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js | src/shadowLong/shadowLongAudit.js,src/app/LongLabApp.jsx | src/shadowLong/shadowLongAudit.js,src/export/longTradeExportSchema.js
isFinalOutcome,RETAIN,,100.0,1,2300,4,2,src/filters/FiltersTab.jsx | src/filters/longFilterAnalytics.js | src/filters/longFilterEngine.js,src/app/LongLabApp.jsx | src/lifecycle/longTradeLifecycle.js,src/export/longTradeExportSchema.js | src/filters/longFilterRegistry.js
setId,RETAIN,,100.0,4,2300,20,14,src/app/LongLabApp.jsx | src/fees/feeAggregates.js | src/fees/feeLedger.js | src/scoring/postFee10/postFee10.analytics.js | src/scoring/postFee10/postFee10.rankings.js | src/scoring/postFee10/postFee10.scorer.js | src/shadowLong/shadowLongAudit.js,src/app/LongLabApp.jsx | src/fees/feeAggregates.js | src/fees/feeLedger.js | src/scoring/postFee10/postFee10.scorer.js,src/export/longTradeExportSchema.js | src/scoring/postFee10/postFee10.rankings.js
bestDnaLongScore,RETAIN,,100.0,40,2262,16,2,src/app/LongLabApp.jsx | src/audits/bestDnaLongAudit.js | src/export/longBestDnaExport.js | src/filters/FiltersTab.jsx | src/filters/components/ExplainMatchDrawer.jsx | src/longGate/sniperLongGateLogOnly.js | src/research/buildLongEntryResearchSnapshot.js | src/research/longEvidenceSemantics.js | src/scoring/executionRankScoreLogOnly.js,src/audits/bestDnaLongAudit.js | src/export/longBestDnaExport.js,src/export/longBestDnaExport.js | src/export/longTradeExportSchema.js | src/filters/FiltersTab.jsx | src/filters/longFilterAnalytics.js | src/filters/longFilterRegistry.js | src/research/entrySnapshotProvenance.js
bucketAuditScore,RETAIN,,100.0,23,2235,4,3,src/filters/components/ExplainMatchDrawer.jsx | src/migrations/migrateLongTradeRecord.js | src/research/buildLongEntryResearchSnapshot.js,src/longAudits/topGainerContinuationAudit.js | src/longAudits/topLoserReversalAudit.js | src/research/buildLongEntryResearchSnapshot.js,src/export/longTradeExport.js | src/export/longTradeExportSchema.js | src/migrations/migrateLongTradeRecord.js
entryPrice,RETAIN,,100.0,100,2145,102,22,src/aesDiscovery/AesDiscoveryTab.jsx | src/aesDiscovery/aesDiscoveryAnalytics.js | src/aesDiscovery/aesDiscoveryShadowEngine.js | src/app/LongLabApp.jsx | src/audits/bestDnaAudit.js | src/audits/longRunnerCaptureAudit.js | src/exitProfiles/dynamicExitProfiles.js | src/fees/feeAccounting.js | src/fees/feeSafeProfitLock.js | src/fees/profitLockTelemetry.js | src/lifecycle/longTradeLifecycle.js | src/lifecycle/openPositionLifecycle.js | src/lifecycle/profitLockProtection.js | src/lifecycle/profitLockStrategy.js | src/lifecycle/tradeFinalization.js | src/liveExitAudit/liveExitAudit.signals.js | src/migrations/migrateLongTradeRecord.js | src/outcomes/longPostFee10Support.js | src/research/normalizeLongEntryFacts.js | src/scoring/postFee10/postFee10.live-monitor.js | src/scoring/postFee10/postFee10.outcomes.js | src/sessionHealth/sessionHealth.metrics.js | src/shadowLong/shadowLongAudit.js | src/telemetry/advancedMarketTelemetry.js | src/telemetry/entryTelemetry.js | src/telemetry/trendTelemetry.js,src/aesDiscovery/aesDiscoveryShadowEngine.js | src/aesDiscovery/aesDiscoveryTelemetry.js | src/app/LongLabApp.jsx | src/fees/feeAccounting.js | src/fees/feeSafeProfitLock.js | src/lifecycle/tradeFinalization.js | src/research/normalizeLongEntryFacts.js | src/telemetry/advancedMarketTelemetry.js | src/telemetry/entryTelemetry.js,src/aesDiscovery/aesDiscoveryAnalytics.js | src/export/longTradeExportSchema.js | src/research/buildLongEntryResearchSnapshot.js | src/research/entrySnapshotProvenance.js
